Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Paga_Dividendos,Tamanio_Empresa,Valuacion_PE
AMZN,Amazon,Broadline Retail,262.65,21.147343,0.0,12.42,196.0,287.2,2833025073152.0,168911994880.0,3.6523116,5.134295,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN,No,Large Cap (Mega),Neutral
AMCR,Amcor,Paper & Plastic Packaging Products & Materials,46.03,19.340334,0.0565,2.38,36.25,50.94,21281771520.0,3647000064.0,0.90537614,1.8257903,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMCR,Sí,Large Cap,Neutral
AMTM,Amentum,Diversified Support Services,21.47,25.86747,0.0,0.83,19.802,38.11,5249552384.0,1006000000.0,0.37151822,1.11724,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMTM,No,Mid Cap,Neutral
AEE,Ameren,Multi-Utilities,109.74,19.320423,0.0275,5.68,96.57,118.32,30380779520.0,3910000128.0,3.6120296,2.219346,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE,Sí,Large Cap,Neutral
AEP,American Electric Power,Electric Utilities,125.6,108.27586,0.0303,1.16,105.7,140.58,68376309760.0,9029000192.0,3.0001452,2.1313784,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP,Sí,Large Cap,Sobrevalorada
AXP,American Express,Consumer Finance,342.48,20.794172,0.0111,16.47,290.97,387.49,231280115712.0,,3.261463,6.743724,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP,Sí,Large Cap (Mega),Neutral
AIG,American International Group,Multi-line Insurance,76.64,13.985401,0.0261,5.48,71.25,87.29,40074534912.0,8145999872.0,1.4987298,0.99035996,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG,Sí,Large Cap,Subvalorada
AMT,American Tower,Telecom Tower REITs,175.58,28.319357,0.0401,6.2,160.06,214.79,81813266432.0,7044400128.0,7.4773355,21.994238,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT,Sí,Large Cap,Neutral
AWK,American Water Works,Water Utilities,136.2,23.604853,0.0263,5.77,120.57,147.87,27066888192.0,2912999936.0,5.122424,2.3203516,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK,Sí,Large Cap,Neutral
AMP,Ameriprise Financial,Asset Management & Custody Banks,569.54,13.753682,0.0119,41.41,422.37,572.56,50347335680.0,,2.537796,7.913135,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP,Sí,Large Cap,Subvalorada
AME,Ametek,Electrical Components & Equipment,254.79,37.30454,0.0053,6.83,179.24,261.16,58398633984.0,2500681984.0,7.426145,5.187304,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME,Sí,Large Cap,Sobrevalorada
AMGN,Amgen,Biotechnology,415.21,25.773432,0.0241,16.11,269.77,421.79,224092274688.0,17268000768.0,5.882459,19.204903,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN,Sí,Large Cap (Mega),Neutral
APH,Amphenol,Electronic Components,167.11,41.882206,0.006,3.99,104.71,178.52,206043856896.0,9463700480.0,7.10212,13.296468,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH,Sí,Large Cap (Mega),Sobrevalorada
ADI,Analog Devices,Semiconductors,389.39,57.773003,0.0115,6.74,223.47,445.91,189666836480.0,6149394944.0,14.88728,5.6210933,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI,Sí,Large Cap,Sobrevalorada
AON,Aon,Insurance Brokers,355.83,19.604958,0.0092,18.15,304.59,382.34,75480596480.0,5900000256.0,4.294282,7.859478,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON,Sí,Large Cap,Neutral
APA,APA Corporation,Oil & Gas Exploration & Production,40.47,8.537975,0.0247,4.74,19.96,45.66,14178726912.0,5720000000.0,1.6540744,2.0212767,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA,Sí,Large Cap,Subvalorada
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals",305.93,35.083714,0.0035,8.72,223.78,344.57,4464797286400.0,167959003136.0,9.5642185,41.566574,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL,Sí,Large Cap (Mega),Sobrevalorada
AMAT,Applied Materials,Semiconductor Materials & Equipment,507.18,43.684753,0.0042,11.61,154.47,739.67,402680348672.0,10154999808.0,13.058351,15.714329,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT,Sí,Large Cap (Mega),Sobrevalorada
APTV,Aptiv,Automotive Parts & Equipment,49.56,22.425339,0.0,2.21,46.16,88.93,10487913472.0,3232999936.0,0.5111567,1.1797754,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV,No,Large Cap,Neutral
